search_log_id,jurisdiction_id,searched_at,searched_by_role,language,domains_searched,query_summary,result_state,evidence_path,review_status,notes
PUBSEARCH-0105,NLD,2026-07-27T13:39:45Z,analyst-agent,Dutch,annual reports,NLD annual reports Dutch official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0106,NZL,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,NZL statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0107,NZL,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,NZL judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0108,NZL,2026-07-27T13:39:45Z,analyst-agent,Māori,statistics/open data,NZL statistics/open data Māori official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0109,PHL,2026-07-27T13:39:45Z,analyst-agent,Filipino,judiciary/court administration,PHL judiciary/court administration Filipino official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0110,NZL,2026-07-27T13:39:45Z,analyst-agent,Māori,annual reports,NZL annual reports Māori official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0111,PHL,2026-07-27T13:39:45Z,analyst-agent,Filipino,justice ministry,PHL justice ministry Filipino official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0112,NZL,2026-07-27T13:39:45Z,analyst-agent,Māori,justice ministry,NZL justice ministry Māori official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0113,PHL,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,PHL justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0114,NZL,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,NZL justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0115,PHL,2026-07-27T13:39:45Z,analyst-agent,English,annual reports,PHL annual reports English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0116,PHL,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,PHL statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0117,NZL,2026-07-27T13:39:45Z,analyst-agent,Māori,judiciary/court administration,NZL judiciary/court administration Māori official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0118,PHL,2026-07-27T13:39:45Z,analyst-agent,Filipino,annual reports,PHL annual reports Filipino official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0119,PHL,2026-07-27T13:39:45Z,analyst-agent,Filipino,statistics/open data,PHL statistics/open data Filipino official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0120,PHL,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,PHL judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0121,SGP,2026-07-27T13:39:45Z,analyst-agent,English,judiciary/court administration,SGP judiciary/court administration English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0122,SGP,2026-07-27T13:39:45Z,analyst-agent,English,justice ministry,SGP justice ministry English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0123,SGP,2026-07-27T13:39:45Z,analyst-agent,Chinese,judiciary/court administration,SGP judiciary/court administration Chinese official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
PUBSEARCH-0124,SGP,2026-07-27T13:39:45Z,analyst-agent,English,statistics/open data,SGP statistics/open data English official,source_inaccessible,build/public-searches/search-receipts.json,draft,Search endpoint access issue: URLError; no result promoted.
